run_accession	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	instrument_platform	instrument_model
ERR9769168	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR976/008/ERR9769168/ERR9769168_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR976/008/ERR9769168/ERR9769168_2.fastq.gz	2695635;2822546	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769168/ERR9769168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769168/ERR9769168_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769168/ERR9769168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769168/ERR9769168_2.fastq.gz	ILLUMINA	NextSeq 2000
ERR9769169	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR976/009/ERR9769169/ERR9769169_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR976/009/ERR9769169/ERR9769169_2.fastq.gz	14284990;14897101	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769169/ERR9769169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769169/ERR9769169_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769169/ERR9769169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769169/ERR9769169_2.fastq.gz	ILLUMINA	NextSeq 2000
